brand|name_perfume|family|subfamily|fragrances|ingredients|origin|gender|years|description|image_name
Issey Miyake|L'Eau D'Issey Pour Homme I G O|AROMATIC FOUGERE|WATERY|Water Classical|['Vetiver', 'Yuzu', 'Geranium', 'Clary Sage', 'Cinnamon', 'Coriander', 'Nutmeg', 'Saffron', 'Amber', 'Cypriol / Nagarmota', 'Mandarin', 'Musk', 'Sandalwood', 'Tobacco Leaf']|Japan|Male|2020|"Issey Miyake knows how to astonish with the obvious and provoke with simplicity. IGO is another incarnation of Eaux d'Issey - nomadic technological and playfully rendering. The parallel with its English meaning ""I GO"", IGO in Japanese signifies ""henceforth"" and the notion of the immediate future - a creative playground that Issey Miyake design dearly loves to explore. IGO or I GO: a play on words; a universal meaning."|9rsh28k8hsvkaw88fh08xd6z7te1bc03ae12i0xmvmpmw4xiv191wwbabmos-w500-q85.jpg
Kerzon|Kermusk|FLORAL|MUSK SKIN|Soft Floral Crisp Musk|['Musk', 'Jasmine', 'Iris / Orris', 'Rose (Bulgaria)', 'Bergamot', 'Pink Pepper', 'Cedarwood', 'Vanilla (Madagascar)']|France|Unisex|2019|Love is an epidermal tale and the first memory of it is skin: silky, velvety, insolent ivory tones. To reconstitute its sweet softness: a cocktail of mild Musks, slightly ambered, which flirts with a note of Tobacco to express a certain mellow animality.|y25gkphryjciwdaayn853kahx2gonx9n65h5jyvtutntjjqfg5s912gqrout-w500-q85.jpg
Nishane Istanbul|Wulóng Chá|CITRUS|CITRUS|Citrus Fresher|['Mandarin', 'Musk', 'Oolong Tea', 'Bergamot', 'Fig', 'Nutmeg']|Türkiye|Unisex|2015|Opens on citrus notes, while Mediterranean fruits and musky notes provide a base for the fragrance. The delightful tea from China mesmerizes in an evasive way.|xex9ugrjlx0znv1fieu1380i9q363luo25cxwbooajvvv94xw8x24jc1252z-w500-q85.jpg
Prada|Infusion De Gingembre|WOODY|CITRUS|Woods Fresher Citrus|['Ginger', 'Vetiver', 'Mandarin (green)', 'Geranium']|Italy|Unisex|2024|A lively, warm scent as sunny as summer.|6qv12s0n2xdte5m8tnglrmi4okccb7j1mp1yseohkrthp0w0ogt1xnpq9t94-w500-q85.jpg
Reminiscence|Rem L'Acqua|FLORAL|CITRUS|Floral Fresher Citrus|['Bergamot', 'Musk', 'Salicylate (Floral notes)', 'Jasmine', 'Narcissus', 'Lemon', 'Benzoin', 'Ciste Labdanum', 'Vanilla']|France|Female|2016|Celebrate 20 years of Rem with Rem L'Acqua! Imagine a fragrance that feels like a burst of joy! A real beam of sunshine. A luminous creation filled with summer radiance revealing a modern cologne effect, orchestrated by vibrant tangy notes.|9ms4s44f5yt24jsvm0hiwhvia75bza629tzz7ohlnugbvfza6izjbeckhhdo-w500-q85.jpg
Ulric De Varens|Udv Pour Elle Gold-Issime|FLORAL|ALDEHYDIC|Soft Floral Classical|['Aldehyde', 'Musk', 'Jasmine', 'Ylang-ylang', 'Orange Blossom', 'Patchouli', 'Peach', 'Sandalwood', 'Tonka Bean']|France|Female|2004|A classy fragrance for charming women with style.|z0wjrz9cze654vw2t3k7rervi7bxmqzazrb41k11ysd4usp8xjx5oss40tiu-w500-q85.jpg
Charrier Parfums|Rose|FLORAL|FLORAL|Floral Classical Rose|['Rose', 'Freesia', 'Sandalwood', 'Geranium', 'Musk', 'Woody Notes']|France|Female|2018|Rose by Charrier Parfums is a delicately cultivated perfume to exalt all its notes.|35a0d51ruhgn486k0zfraajk9ihk232s09djjia44aer0gib1drx99av68jn-w500-q85.jpg
Aerin|Cedar Violet|WOODY|GREEN|Woods Fresher Green|['Violet Leaves', 'Cedarwood (Virginia)', 'Sandalwood (Australia)', 'Benzoin', 'Cardamom', 'Gardenia', 'Jasmine', 'Lily Of The Valley', 'Rose Damascena']|United States of America|Female|2021|Cedar Violet evokes a spontaneous walk through golden woodlands, close to nature and its spectacular verdancy.|dfa03cao4i4x9e8g1469qm1rhi4lkgyc3mw7lwrhcpbum6pyel0bqi00yjgs-w500-q85.jpg
M. Micallef|Fleur De Lune|FLORAL|MUSK SKIN|Soft Floral Fresher White Flower|['Musk', 'Bergamot', 'Jasmine', 'Orchid', 'Mandarin', 'Plum']|France|Female|2019|Captivating yet relaxing, our Fleur de Lune eau de parfum features white flowers transcended by juicy summer fruits and white musk.|5lgfzl54frs19c21d33y3f829liaxjet5h2nipo65whoc9xllruyybbeedpz-w500-q85.jpg
House Of Sillage|Whispers Of Enlightenment|FLORAL|FRUITY|Floral Fresher Fruity|['Jasmine', 'Peach', 'Vetiver', 'Rose', 'Caramel']|United States of America|Female|2017|Manifesting your ultimate purpose. With an emotional and intellectual evolution, promises of true happiness and peace are continuously realized.|62ofvgidnhosxz9kiku7xdt1kxsd58fqoytjpc4p1jgwxnoh3224vslpwxse-w500-q85.jpg
Dunhill London|Desire Red Extreme|WOODY|AMBERY (ORIENTAL)|Woody Amber Fresher|['Vetiver', 'Saffron', 'Amber', 'Ciste Labdanum', 'Bergamot', 'Patchouli', 'Clary Sage']|United Kingdom|Male|2017|"""Our vision for Dunhill Red Extreme was to create a modern expression of passionate energy, sophisticated luxury, and masculine sensuality,"" Carlos Benaïm and Céline Barel, Perfumers."|llll6gh12smiasg3h08mgu0rhd8h41zbvk63acau2s1y21ncbemtjo6j5jb3-w500-q85.jpg
Guerlain|Mandarine Basilic Harvest 2023|CITRUS|GREEN|Citrus Fresher|['Mandarin', 'Green Tea', 'Woody Notes']|France|Female|2023|"“Mandarine Basilic Harvest is a sparkling creation around a Marzolo mandarin that reveals a lively and exquisite bitterness,"" Delphine Jelk, Guerlain Perfumer."|z449j45k80kp8mbsawkwx8izz9cpg5gfoa93ojz7720t7lyw49y1q1dwru54-w500-q85.jpg
Le Labo|Tabac 28|WOODY|TOBACCO|Dry Woods Classical|['Tobacco Accord', 'Cedarwood', 'Rum', 'Oud / Agarwood', 'Guaiac Wood', 'Cardamom']|United States of America|Unisex|2019|Deeply aromatic tobacco absolute (picture a Cuban Havana distilled) combined with a striking woody blend create a smooth, smouldering feel. The whole creation is alive, vibrant, sensual, decadent even! And it brings to Wynwood, Miami, another colourful graffiti, but this one is for your nostrils only.|sne15k0u5vvvmydwwwhbg5f61p0c226riljnhxgn3qonscx8nwpbukzw83do-w500-q85.jpg
Cerruti|Cerruti 1881 Rêve De Roses|FLORAL|FLORAL|Floral Fresher Rose|['Rose', 'Bergamot', 'Jasmine', 'Pink Pepper', 'Sandalwood']|Italy|Female|2023|A voluptuous yet energising scent that will make heads turn.|lp6ukgqx9mox6dkikoj3wkxlej2ncjmrvqsa5z7ft9hruz10ikw1o4n9m3r1-w500-q85.jpg
Van Cleef & Arpels|Tsar|AROMATIC FOUGERE|AROMATIC FOUGERE|Aromatic Fougère Fresher Aromatic|['Rosemary', 'Sandalwood', 'Lavender', 'Bergamot', 'Cinnamon', 'Jasmine', 'Oakmoss', 'Patchouli', 'Vetiver']|France|Male|1989|Tsar is a timeless fragrance. A fragrance of a naturally elegant man. This aromatic, woody, harmony fully asserts its presence.|z76jswzvfchbawl4dh8i5i3f8el8djx3by0wtg7x1npb7cx602pp1ghcuttn-w500-q85.jpg
Maison De L'Asie|Rivière Siam|AMBERY (ORIENTAL)|FLORAL|Soft Amber Classical|['Orange Blossom', 'Osmanthus', 'Musk', 'Iris / Orris', 'Birch', 'Mandarin Orange Blossom', 'Bergamot', 'Suede']||Unisex|2023|Rivière Siam takes you away to the beautiful rivers in Thailand, where the waters shimmer under sun-kissed skies.|pasfafjagtph5pmao9ifewgbu3urt0tdwo8zwp3lkl5gzdyqeflfpt18ncd0-w500-q85.jpg
So....? Fragrance|So...? Desirable|FLORAL|FRUITY|Soft Floral Crisp Fruity|['Apple', 'Magnolia', 'Musk', 'Freesia', 'Iris / Orris', 'Mandarin']|United Kingdom|Female|2002|So…? Desirable features top notes apple and mandarin, which warm to a heart of magnolia and linden blossom. The base includes musk, orris and freesia.|uv0tfqywxinjxx2i3qg7iugyc2x2n5rztefq8ojiqerh611h0xe7grwu0hq7-w500-q85.jpg
Weil|Weil Pour Homme (2004)|LEATHER|CITRUS|Dry Woods Crisp|['Bergamot', 'Leather', 'Thyme', 'Pineapple', 'Artemisia', 'Ciste Labdanum', 'Jasmine', 'Lavender', 'Musk', 'Nutmeg', 'Patchouli', 'Vetiver', 'Woody Notes']|France|Male|2004|Aimed at young men as much as more mature ones, Weil Pour Homme is a subtle harmony of fresh woody and aromatic notes.|e0gcw7by5ek3iw64sjav3xp21ip3vaav9je6ol259kjvgy61ihnq3l5mfyt1-w500-q85.jpg
Marbert|Bath & Body Fresh (Marbert Fresh Emotion)|CITRUS|CITRUS|Citrus Fresher|['Bitter Orange', 'Neroli', 'Vetiver', 'Bergamot', 'Tangerine', 'Amber', 'Cedarwood', 'Jasmine', 'Musk', 'Nutmeg', 'Petitgrain']|Germany|Female|2005|"Refreshing scent. Pure freshness for the whole body - simply irresistible! This ""feel-good-fragrance"" combines the freshness of citric fruits with the smoothness of light woods."|fi0id9863p7svgsr2jv3eh2kvdw3t0qlgj3k8wd0o2ffxowrdqi8swlfb8qh-w500-q85.jpg
Valentino|Valentino Donna Noir Absolu|WOODY|GOURMAND|Woods Fresher Gourmand|['Cedarwood', 'Black Pepper', 'Sandalwood', 'Leather', 'Rose', 'Saffron', 'Jasmine (Sambac)']|Italy|Female|2017|Enjoy a darker more opulent and oriental vision of Valentino. Exotic, sensual and decadent.|vqig6bf86uhhjlwax03r2o4oxjh95so414u7yo4i59y5m68qfb72qg6sp53v-w500-q85.jpg
Electimuss|Octavian|WOODY|AMBERY (ORIENTAL)|Woody Amber Classical|['Oud / Agarwood', 'Incense / Olibanum', 'Pink Pepper', 'Amber', 'Rose (Taif)', 'Rose (Bulgaria)', 'Leather', 'Saffron']|United Kingdom|Unisex|2020|Octavian, Emperor Augustus, was the first emperor of the Roman Empire. His reign oversaw a time of great expansion, wealth, alliances, peace, and success. Powerful accords and spices from the East combine to create the fragrance of an empire.|m00tu0n0epbcmc36ib1pme7a167nmuh6wjpm18n4ce2kd0xc0ptw6mqpm9fz-w500-q85.jpg
Houbigant|Oud Or|WOODY|AMBERY (ORIENTAL)|Woody Amber Classical|['Oud / Agarwood', 'Cashmeran (Woody musky)', 'Orange Blossom', 'Iso E Super (Cedarwood Note)', 'Cedarwood', 'Ciste Labdanum', 'Guaiac Wood', 'Geranium', 'Patchouli', 'Saffron', 'Vanilla', 'Raspberry', 'Rose']||Male|2023|Feel the captivating atmosphere that surrounds you, feel the rich history of people who have kept the tradition alive. Oud Or is a breathtaking journey back in time, into the fascinating atmosphere of the Middle East.|zhdlgjdmf2eszw06xbdzm9b00yubjizg1dbygf1gtu2n0ay0dvujku6utclm-w500-q85.jpg
Demeter Fragrance Library|Strawberry Ice Cream|FLORAL|FRUITY|Fruity Crisp|['Raspberry', 'Cotton Candy', 'Vanilla', 'Jasmine', 'Peach', 'Melon', 'Musk']|United States of America|Unisex|2012|What could be more scrumptious than Strawberry Ice Cream, made with the freshest strawberries and sweet cream? A refreshing treat from Demeter, on a hot summer's day, or anytime you need a bit of summer year around.|d1x61dmuh85f94fufoitpo7zv705gjfjbixc25i0noxaek3uh1c2nw31dao1-w500-q85.jpg
Michael Kors|Sheer 2017|FLORAL|MUSK SKIN|Soft Floral Fresher White Flower|['Lily', 'Musk', 'Tarragon', 'Jasmine', 'Orange Blossom', 'Peony', 'Amber', 'Bergamot', 'Cashmeran (Woody musky)', 'Cedarwood']|United States of America|Female|2017|Michael Kors Sheer is a softly feminine scent inspired by the brand's best selling signature perfume. This delicate yet evocative fragrance combines soothing herbal notes with rich florals, and a woody base to conjure moments of sheer intimacy.|kyb5w0pcnn2u361zftbm4waqxatzrrek6trzes0pnmeci5m4705csa8eueji-w500-q85.jpg
Acqua Di Parma|Acqua Nobile Magnolia|FLORAL|CITRUS|Floral Fresher Magnolia|['Magnolia', 'Bergamot', 'Musk', 'Freesia', 'Jasmine', 'Lily Of The Valley', 'Orange Blossom', 'Lemon', 'Mandarin', 'Vanilla']|Italy|Female|2013|Acqua Nobile Magnolia is a brilliant fragrance that reveals the majestic purity of magnolia blossoms at dawn.|oisydr6en4abxzaa53zdynnov06dxhhe119k9obwkds1awqaqki7ytfmlf8j-w500-q85.jpg
Coach|Coach Wild Rose|FLORAL|FRUITY|Floral Crisp Fruity|['Ambroxan (Ambergris)', 'Jasmine (Sambac)', 'Bergamot']|United States of America|Female|2022|Coach Wild Rose captures the free-spirited attitude of Coach. Bold and sensual, it evokes the untamed beauty of fields of wildflowers and a feeling of possibility.|v1k00909qhsxvye9lztbi2980f0k9bng8n17hjzoooht0o1chibe5ewbxa3n-w500-q85.jpg
Santa Maria Novella|Cala Rossa|CITRUS|GREEN|Green Fresher|['Everlasting Flower', 'Ciste Labdanum', 'Lavender', 'Mint', 'Musk', 'Rosemary']|Italy|Unisex|2014|Cala Rossa is dedicated to the island of Capraia and its history, which is impassioned and fascinating like its aromas that accompany us on the hidden paths through the shrub lands, on the sharp rocks above the sea. You find your gaze slip away towards far horizons in the shimmering lights of an island to contemplate.|qi8ausd6mkbcxgq53fl6fadh7oe6nbi9ajk3f3vdnvzmhlwlj3hn4l4r4zxd-w500-q85.jpg
Adopt|Super Papa|WOODY|CITRUS|Woods Crisp|['Cedarwood', 'Rosemary', 'Amber', 'Iris / Orris', 'Tonka Bean', 'Vanilla']|France|Male|2019|Sophisticated yet easy to wear, Super Papa has an identity of its own. The fragrance, thanks to its reassuring notes, will be able to evoke in those who wear it, striking memories of their life with their “Super dad”!|scgmfggtxz8m8sh7vrfnuyzxuml972zg3bdis745e06b6faifkisevkj0q69-w500-q85.jpg
Avon|Today Tomorrow Always Celebrate For Men|FLORAL|MUSK SKIN|Soft Floral Fresher|['Iris / Orris', 'Bergamot', 'Oakmoss', 'Orange Blossom', 'Cedarwood', 'Lavender', 'Neroli', 'Vanilla', 'Vetiver']|United States of America|Male|2019|Today Tomorrow Always Celebrate for Men starts off with bright sparkling citrus supported by aromatic notes that create a comfort and freshness, while precious notes in the heart form a smooth and lasting radiance. As the scent settles a soft, peacefulness comes together to form a true aura of inner beauty - an ode to love and compassion.|od86jaioxkfrqlkt6jfj7zvv7oyzjq39nm5pdbo5e4l3xmlm4atob67h9v5y-w500-q85.jpg
Burberry|Amber Heath|AMBERY (ORIENTAL)|FLORAL|Soft Amber Classical|['Amber', 'Tonka Bean', 'Vetiver', 'Vanilla', 'Patchouli', 'Ambergris']|United Kingdom|Unisex|2017|A romantic scent, reminiscent of a courtyard in bloom, surrounded by the wilderness of a vast heath. A golden scene set at dusk.|a4x1zsmkkdvg11ip7af2dv7o74xsqqivwbg4xne2h7aawoqa66twd5k6ybg0-w500-q85.jpg
Roja|Risqué Eau De Parfum Pour Homme|CHYPRE|FLORAL|Mossy Woods Classical|['Geranium', 'Incense / Olibanum', 'Lavender', 'Oakmoss', 'Jasmine (Grasse)', 'Peach', 'Bergamot', 'Cardamom', 'Cedarwood', 'Ciste Labdanum', 'Lemon', 'Myrrh', 'Pink Pepper', 'Tonka Bean', 'Vetiver']|United Kingdom|Male|2015|“Risqué Eau de Parfum Pour Homme is a sensory exploration of how society tells us to behave, think and act, so I created a perfume that represents a deviation from propriety. A scent that seems disciplined but reveals itself to be darker and more complex over time. The scent appears to be gentlemanly and refined, but with each breath, it subtly reveals something more carnal. Risqué Eau de Parfum Pour Homme - something that should be kept behind closed doors,” Roja Dove.|u4vriuyupwa8ohogl1lu3herws7loucbaqj6oeibswhfbt6qpvo2bl77guuu-w500-q85.jpg
Majestic|Gold Mist|WOODY|WOODY|Woods Classical|['Sandalwood', 'Musk', 'Rose']||Female|2019|Feel the flavour of the four seasons in France with notes of rose, a touch of sandal and musky tones to delight your senses. The enchanting effect of this blend rests within the base that adds the final element to bring out the best in you.|uzi5d9in4tmy4zfqi5bznewoo7t39a8195g7jj0nezvsqyddfk76m5kbiknk-w500-q85.jpg
Mona Di Orio|Myrrh Casati|AMBERY (ORIENTAL)|AMBERY (ORIENTAL)|Amber Classical|['Myrrh', 'Cardamom', 'Incense / Olibanum', 'Incense (Somalia)', 'Benzoin', 'Cypriol / Nagarmota', 'Guaiac Wood', 'Patchouli', 'Pink Pepper', 'Saffron']|France|Unisex|2014|Inspired by Marchesa Casati, the legendary patron of the arts and muse of eccentricity, known for her extravagant dark fashion and lavish fetes replete with exotic animals, gilded servants, and an infectious waft of incense and mystery that surrounded her.|613sfgb7djcj59vu2urt5bt81ywiw1qiagsy5wq4qsa9zs89aop4mho0l5tj-w500-q85.jpg
Police|Police To Be #Freetolove For Woman 2023|FLORAL|CITRUS|Floral Fresher Gourmand|['Freesia', 'Caramel', 'Lotus', 'Bergamot', 'Cedarwood', 'Musk', 'Sandalwood', 'Tonka Bean', 'Vanilla', 'Green Apple']|Italy|Female|2023|This inclusive scent was developed for those who want to be free to express themselves and their creativity, and celebrate love.|krfcze3oqv30owdqzkfcmnhk5lsj0ks71oepifp76rften8nh45ko9qv3jlp-w500-q85.jpg
L'Artisan Parfumeur|Noir Exquis|AMBERY (ORIENTAL)|GOURMAND|Woody Amber Richer Gourmand|['Tonka Bean', 'Sandalwood', 'Vanilla', 'Heliotrope', 'Coffee', 'Orange Blossom']|France|Unisex|2015|The inspiration for Noir Exquis is an unexpected rendez-vous in a French patisserie. Two people meet over a coffee. In this delicious atmosphere of patisserie and coffee, hushed looks are exchanged. This delightful rendez-vous is the beginning of a new story with Noir Exquis.|zs1p4d0boe1n4s5en1bcxmfgironqwfonr3p7ajg7s4hinbz9o84c5fjncoc-w500-q85.jpg
Afnan|Faten Maroon|FLORAL|MUSK SKIN|Soft Floral Crisp Musk|['Musk', 'Jasmine', 'Ylang-ylang', 'Vanilla', 'Amber']|United Arab Emirates|Female|2020|A heady feminine floral woody musk fragrance exalting womanhood.|lillt96t9s9q6qsxt0swj4ed5u8v4k2ho2iee4k1ntqcw81e3tbyhuqq83f0-w500-q85.jpg
Rasasi|La Yuqawam Orchid Prairie|WOODY|WOODY|Woods Classical|['Cashmeran (Woody musky)', 'Oud / Agarwood', 'Neroli', 'Coumarin (Tonka Bean note)', 'Amber', 'Bergamot', 'Musk', 'Saffron', 'Vanilla']|United Arab Emirates|Female|2013|La Yuqawam Orchid Prairie is a romantic and sensuous modern oriental perfume for the contemporary woman.|9jqhdpc6fjcxq6e2vocl1of66dpvp73oorrulk6b8r9gv2awy0qaxjfbdrh7-w500-q85.jpg
Ésika|D'Orsay Infinite|WOODY|CITRUS|Woods Fresher|['Cedarwood', 'Vetiver', 'Green Notes', 'Sandalwood']|Mexico|Male|2018|A fragrance for the cosmopolitan, urban and elegant man, who lives in a constant competition and seeks success in all facets of his life.|5lgtg6o2b18757g1a7duzn3p8k63kw60otoigvekg2osrn7fooinxnz4b3us-w500-q85.jpg
Lalique|Lalique Pour Homme Athletes 2009|WOODY|AMBERY (ORIENTAL)|Woody Amber Crisp|['Amber', 'Bergamot', 'Lavender', 'Cedarwood', 'Sandalwood', 'Grapefruit', 'Mandarin', 'Rosemary', 'Vanilla', 'Iris / Orris', 'Jasmine', 'Oakmoss', 'Patchouli']||Male|2008||3lo82wxthx3mlvw6qsimwla6fiesh9w04d95xfer2qfinpnqhxu3tdo8vqmf-w500-q85.jpg
Jo Malone London|English Pear & Freesia|FLORAL|FRUITY|Floral Fresher Fruity|['Pear', 'Freesia', 'Bergamot', 'Patchouli', 'Rose', 'Orange Blossom', 'Rhubarb', 'Amber', 'Musk', 'Woody Notes']|United Kingdom|Unisex|2010|Orchards steeped in golden sunshine, warming the russet curves of luscious pears. The sensuous freshness of the just-ripe fruit wrapped in elegant white freesias, enhanced with rose and rooted in patchouli.|xw8heyp4sdak4ke2hk05zumvs8v9yrzefdka7ex6c3q4xq5b0mmteu1mnu03-w500-q85.jpg
Ghost|Ghost Mystical Dream|FLORAL|AMBERY (ORIENTAL)|Floral Amber Crisp Fruity|['Orange Blossom', 'Vanilla', 'Jasmine', 'Tuberose', 'Tonka Bean', 'Black Pepper', 'Patchouli', 'Woody Notes']||Female|2017|Mystical Dream is an invitation to let go, enjoy mesmerising sunsets and dream your life away.|soak98w9zybqkz8rx0p5wsytciye8s7ir0p0bnokqbn5v25ja43xc34ens40-w500-q85.jpg
Lancôme|Rose Peonia|FLORAL|FLORAL|Floral Fresher Rose|['Peony', 'Rose', 'Rose Damascena', 'Musk', 'Fruity Notes', 'Raspberry', 'Sandalwood', 'Woody Notes', 'Ambrette Seed']|France|Female|2021|A spring morning, a garden. Come across a young girl in a park wearing a delicate robe, like flower petals. Imagine her dancing step as a mixture of light peonies and wild roses softened with ambrette and musks, heckled with a burst of dapper raspberries.|b6os9w3h8t6ttgvqx36f0gdy00s6iiara505hg770lgdxcmqbz4unwd8922a-w500-q85.jpg
Dior|Hypnotic Poison Eau De Toilette|AMBERY (ORIENTAL)|FLORAL|Woody Amber Richer|['Vanilla', 'Jasmine (Sambac)', 'Sandalwood', 'Tuberose', 'Apricot', 'Lily Of The Valley', 'Plum', 'Rose']|France|Female|1998|We don't wear Hypnotic Poison, it wears you. With Hypnotic Poison Eau de Toilette, the house of Dior creates a myth of modern perfumery through a magnetic and sensual fragrance. An intoxicating oriental, terribly sensual.|3hx0uajndunvz7a7ujmp9nb5oalh3u2jqh0pnh4xo46dkhept0kl8yoamqzi-w500-q85.jpg
Marc Jacobs|Daisy Love Skies 2022|FLORAL|GOURMAND|Floral Fresher Gourmand|['Woody Notes', 'Amber', 'Raspberry', 'Ambrette Seed']|United States of America|Female|2022|Fresh. Sophisticated. Addictive. Soothing and crisp like the breeze on a tranquil spring day. A fragrance inspired by the blue open sky and warm rays of sunshine.|tc1mecyq0x94bfqr9ordtafvzz98x0kr4zr2t9rw20m3jeb50eozhulbg6ov-w500-q85.jpg
Replay|Signature Red Dragon|WOODY|AMBERY (ORIENTAL)|Woody Amber Fresher|['Cardamom', 'Patchouli', 'Black Pepper', 'Vetiver', 'Woody Notes', 'Geranium', 'Grapefruit', 'Pink Pepper', 'Tea']|Italy|Male|2018|The Replay Signature Red Dragon man reveals his inscrutable soul with resolution, courage and energy.|xaws7pw4lipmcdm3ne57x7ohavpo59bohhpx9z2pzhjfa30nfnf2hyr1ip94-w500-q85.jpg
Evaflor|Whisky Sugar Skull|WOODY|CITRUS|Woods Crisp|['Bergamot', 'Patchouli', 'Rose (Turkey)', 'Amber', 'Oakmoss', 'Jasmine (Sambac)']||Male|2022|Whisky Sugar Skull is the perfume of a hedonistic and singular man. A festive and colourful design for an equally surprising fragrance. The artwork on the bottle was inspired by the carnival of the Day of the Dead in Mexico.|1854kih080od8ysmmy2mg63gw89tqor2mgmbmdbypoxjndcfgajlw2t5j9u3-w500-q85.jpg
The Real Man|Calm|AMBERY (ORIENTAL)|CITRUS|Soft Amber Crisp|['Spicy Notes', 'Gardenia', 'Musk']||Male|2022|A scent that smells like confidence.|19cg32hexg1g5g7idd7x5m24s5xckg961hn4s6x0xf2g6zgkeogb5yshwelg-w500-q85.jpg
